Id,Id1,Bac,Virus
K1,1,579.528476775739,9288.443276404092
K1,2,596.488056747161,10325.224063973426
K1,3,588.9892962638487,9781.67419655607
K10,1,633.2760049144471,9823.984257278233
K10,2,630.8476382359108,9746.594163478252
K10,3,627.5943198463766,9821.037128664722
K11,1,614.4701348256718,9746.233448427687
K11,2,613.5620041369766,10018.136856135741
K11,3,617.3721116399772,9795.161856846747
K12,1,603.9922013595733,10592.297341210093
K12,2,600.8138055340585,10348.56530919695
K12,3,596.2289702536532,9846.402495859755
K13,1,643.2631001192723,10247.263531216273
K13,2,624.3904763170715,9780.852995766129
K13,3,634.6044678361133,10381.298447015693
K14,1,635.7365888868043,10350.711172834002
K14,2,630.1990493166963,10761.571782172588
K14,3,636.8310892595091,10217.372580232412
K15,1,615.6481834003539,9428.50320878759
K15,2,634.4862780097321,10402.869543993487
K15,3,627.4948139784635,10413.280356706535
K16,1,610.6449733904677,9787.258249714112
K16,2,623.9459946440973,10621.501835808307
K16,3,620.1459659994275,10439.185868315726
K17,1,606.6898888695506,9286.380728419581
K17,2,617.4443071351075,8991.837472393127
K17,3,615.720662929928,9267.592652749412
K2,1,562.0931103021884,9665.269608829654
K2,2,575.8676965186171,8938.496171855675
K2,3,560.6218478619671,9077.145866806906
K3,1,601.7694147008316,9669.44241073728
K3,2,615.3788285704505,9716.597708273803
K3,3,600.1948777761428,9919.72717646288
K4,1,637.779846118965,10315.986820201291
K4,2,654.8028402878741,9198.910703244239
K4,3,658.3017189053987,9661.864422182702
K5,1,666.3386903229301,10200.60043128844
K5,2,658.7524459700344,10326.957662676721
K5,3,669.3470618498555,9881.25990103397
K6,1,678.3885112627445,10284.376951240785
K6,2,697.4146299456477,9830.937797810548
K6,3,684.2135845212181,10454.402320567555
K7,1,669.2130287475738,9659.453375563826
K7,2,656.9688656692417,9579.174857408905
K7,3,659.7978397250369,10165.373597323101
K8,1,672.0328348064626,9444.239068810264
K8,2,673.3885020463435,9950.896098415908
K8,3,681.5667911938822,10161.619470437938
K9,1,648.261777909385,9616.722351164623
K9,2,662.8450456173608,10448.810127178758
K9,3,657.8649584180894,10136.069376627935
M1,1,626.4324032104472,9121.024094061384
M1,2,637.0386524861747,9120.032706165046
M1,3,631.6774170557001,9179.635457547882
M10,1,660.9118298819699,9234.320690346345
M10,2,675.103229402474,9965.763958116406
M10,3,679.0929341838241,9747.56683733542
M11,1,657.1344013257883,9486.163525860662
M11,2,641.1279157662386,8644.686451865131
M11,3,639.7227070167646,9111.736959765929
M12,1,646.4457920908666,9931.763041543769
M12,2,638.9069272134213,10131.111486940552
M12,3,647.8387810178665,9959.575754925347
M13,1,633.8494007709068,9931.76779638477
M13,2,645.4998732513375,9892.903462197366
M13,3,632.3791211877605,9219.868337274833
