Station,CastNumber,BottleNumber,Depth(m),Time,Chla
K11,4,24,5,2019-06-30T18:30:00Z,0.133412692
K11,7,24,5,2019-07-01T00:59:00Z,0.112506221
K11,10,24,5,2019-07-01T06:34:00Z,0.143831137
K11,14,24,5,2019-07-01T14:20:00Z,0.139206387
K11,16,24,5,2019-07-01T18:33:00Z,0.120558947
M4,5,24,5,2019-06-24T18:45:00Z,0.097198621
M4,7,24,5,2019-06-25T00:22:00Z,0.093088763
M4,13,24,5,2019-06-25T06:23:00Z,0.092499652
M4,17,24,5,2019-06-25T13:24:00Z,0.102723273
M4,19,24,5,2019-06-25T18:30:00Z,0.097463025
M4,23,12,5,2019-06-26T01:12:00Z,0.129706397
M4,28,24,5,2019-06-26T06:24:00Z,0.170619437
M4,31,10,5,2019-06-26T12:24:00Z,0.136223724
SEATS,8,10,5,2019-06-20T05:31:00Z,0.161235415
SEATS,10,24,5,2019-06-20T09:20:00Z,0.138598721
SEATS,12,12,5,2019-06-20T11:58:00Z,0.136502044
SEATS,13,23,5,2019-06-20T14:53:00Z,0.141720544
SEATS,15,12,5,2019-06-20T18:02:00Z,0.132331883
SEATS,16,24,5,2019-06-20T21:58:00Z,0.100283335
SEATS,20,24,5,2019-06-21T00:44:00Z,0.10868396
SEATS,22,24,5,2019-06-21T06:44:00Z,0.112761348
SEATS,23,24,5,2019-06-21T09:51:00Z,0.145640217
SEATS,26,12,5,2019-06-21T12:29:00Z,0.116472281
SEATS,27,24,5,2019-06-21T17:06:00Z,0.1402037
SEATS,29,23,5,2019-06-21T21:14:00Z,0.107130007
SEATS,33,21,5,2019-06-22T00:55:00Z,0.103785528
SEATS,35,6,5,2019-06-22T04:32:00Z,0.087587304
SEATS,37,24,5,2019-06-22T06:49:00Z,0.1224608
